# Generated by MTSEdit for Minetestmapper colors.txt
# using node palette Mineclone2

mcl_mushrooms:red_mushroom_block_cap_111110 137  39  25
mcl_mushrooms:red_mushroom_block_cap_111111 158  38  35
mcl_mushrooms:red_mushroom_block_stem 158  39  35
mcl_mushrooms:red_mushroom_block_stem_full 158  37  35
mcl_nether:glowstone 135 103  66
mcl_nether:magma 113  50  25
mcl_nether:nether_brick  34  17  20
mcl_nether:nether_lava_flowing 139  57   5
mcl_nether:nether_lava_source 139  59   5
mcl_nether:nether_wart 115  18  17
mcl_nether:nether_wart_0  53  41  38
mcl_nether:nether_wart_1  86  54  51
mcl_nether:nether_wart_2  86  54  51
mcl_nether:nether_wart_block  90   3   2
mcl_nether:netherrack  76  30  30
mcl_nether:quartz_block  92  52  49
mcl_nether:quartz_chiseled 184 180 175
mcl_nether:quartz_ore  92  51  49
mcl_nether:quartz_pillar 187 183 180
mcl_nether:quartz_smooth 186 181 177
mcl_nether:red_nether_brick  55   6   7
mcl_nether:soul_sand  64  49  40
mcl_observers:observer_down_off  72  67  64
mcl_observers:observer_down_on  75  67  65
mcl_observers:observer_off  74  74  74
mcl_observers:observer_on 139 128 123
mcl_observers:observer_up_off  95  80  84
mcl_observers:observer_up_on  95  80  84
mcl_ocean:prismarine  78 129 117
mcl_ocean:prismarine_brick  78 135 125
mcl_ocean:prismarine_dark  40  73  60
mcl_ocean:sea_lantern 136 158 150
mcl_portals:end_portal_frame 106 119  91
mcl_portals:end_portal_frame_eye 106 120  91
mcl_portals:portal   6  16  24
mcl_portals:portal_end   6  15  24
mcl_signs:standing_sign 114  89  69
mcl_signs:standing_sign22_5 114  89  69
mcl_signs:standing_sign45 114  89  69
mcl_signs:standing_sign67_5 114  89  69
mcl_signs:wall_sign 114  94  56
mcl_sponges:sponge 154 152  58
mcl_sponges:sponge_wet 135 142  55
mcl_sponges:sponge_wet_river_water 154 151  58
mcl_stairs:slab_acaciatree_bark  80  75  67
mcl_stairs:slab_acaciatree_bark_double  75  71  64
mcl_stairs:slab_acaciatree_bark_top 105  91  74
mcl_stairs:slab_acaciawood 108  76  57
mcl_stairs:slab_acaciawood_double 101  75  58
mcl_stairs:slab_acaciawood_top 152 100  69
mcl_stairs:slab_andesite 142 140 132
mcl_stairs:slab_andesite_double 139 137 129
mcl_stairs:slab_andesite_smooth 112 114 113
mcl_stairs:slab_andesite_smooth_double 108 110 109
mcl_stairs:slab_andesite_smooth_top 107 113 109
mcl_stairs:slab_andesite_top 104 110 107
mcl_stairs:slab_birchtree_bark 155 155 151
mcl_stairs:slab_birchtree_bark_double 150 150 146
mcl_stairs:slab_birchtree_bark_top 194 184 174
mcl_stairs:slab_birchwood 169 162 139
mcl_stairs:slab_birchwood_double 169 163 144
mcl_stairs:slab_birchwood_top 145 113  89
mcl_stairs:slab_brick_block  86  53  51
mcl_stairs:slab_brick_block_double  83  51  49
mcl_stairs:slab_brick_block_top 125  64  54
mcl_stairs:slab_cobble  63  61  59
mcl_stairs:slab_cobble_double  62  59  57
mcl_stairs:slab_cobble_top 111 101  97
mcl_stairs:slab_concrete_black   7   8  13
mcl_stairs:slab_concrete_black_double   6  10  12
mcl_stairs:slab_concrete_black_top   8  10  15
mcl_stairs:slab_concrete_blue  37  39 120
mcl_stairs:slab_concrete_blue_double  35  37 115
mcl_stairs:slab_concrete_blue_top  46  48 147
mcl_stairs:slab_concrete_brown  80  49  26
mcl_stairs:slab_concrete_brown_double  78  48  25
mcl_stairs:slab_concrete_brown_top  98  60  32
mcl_stairs:slab_concrete_cyan  18  99 113
mcl_stairs:slab_concrete_cyan_double  17  96 110
mcl_stairs:slab_concrete_cyan_top  21 123 140
mcl_stairs:slab_concrete_green  61  76  30
mcl_stairs:slab_concrete_green_double  59  73  29
mcl_stairs:slab_concrete_green_top  75  94  37
mcl_stairs:slab_concrete_grey  45  48  51
mcl_stairs:slab_concrete_grey_double  44  46  49
mcl_stairs:slab_concrete_grey_top  56  59  64
mcl_stairs:slab_concrete_light_blue  29 114 166
mcl_stairs:slab_concrete_light_blue_double  28 110 160
mcl_stairs:slab_concrete_light_blue_top  37 140 200
mcl_stairs:slab_concrete_lime  78 141  20
mcl_stairs:slab_concrete_lime_double  76 136  19
mcl_stairs:slab_concrete_lime_top  96 171  25
mcl_stairs:slab_concrete_magenta 141  40 133
mcl_stairs:slab_concrete_magenta_double 136  39 128
mcl_stairs:slab_concrete_magenta_top 171  49 162
mcl_stairs:slab_concrete_orange 188  81   0
mcl_stairs:slab_concrete_orange_double 181  78   0
mcl_stairs:slab_concrete_orange_top 226 101   1
mcl_stairs:slab_concrete_pink 178  84 119
mcl_stairs:slab_concrete_pink_double 172  81 115
mcl_stairs:slab_concrete_pink_top 213 103 144
mcl_stairs:slab_concrete_purple  84  26 131
mcl_stairs:slab_concrete_purple_double  81  25 126
mcl_stairs:slab_concrete_purple_top 103  32 159
mcl_stairs:slab_concrete_red 119  27  27
mcl_stairs:slab_concrete_red_double 115  26  26
mcl_stairs:slab_concrete_red_top 146  34  34
mcl_stairs:slab_concrete_silver 104 104  96
mcl_stairs:slab_concrete_silver_double 101 101  93
mcl_stairs:slab_concrete_silver_top 128 129 118
mcl_stairs:slab_concrete_white 173 178 179
mcl_stairs:slab_concrete_white_double 167 172 173
mcl_stairs:slab_concrete_white_top 208 214 215
mcl_stairs:slab_concrete_yellow 201 146  18
mcl_stairs:slab_concrete_yellow_double 194 141  17
mcl_stairs:slab_concrete_yellow_top 241 177  21
mcl_stairs:slab_darktree_bark  39  31  17
mcl_stairs:slab_darktree_bark_double  37  29  16
mcl_stairs:slab_darktree_bark_top  74  62  55
mcl_stairs:slab_darkwood  52  36  19
mcl_stairs:slab_darkwood_double  50  35  19
mcl_stairs:slab_darkwood_top  87  74  62
mcl_stairs:slab_diorite 158 158 158
mcl_stairs:slab_diorite_double 153 153 153
mcl_stairs:slab_diorite_smooth 162 162 163
mcl_stairs:slab_diorite_smooth_double 158 158 159
mcl_stairs:slab_diorite_smooth_top 157 154 152
mcl_stairs:slab_diorite_top 153 149 146
mcl_stairs:slab_end_bricks 183 188 137
mcl_stairs:slab_end_bricks_double 177 182 132
mcl_stairs:slab_end_bricks_top 194 187 123
mcl_stairs:slab_goldblock 204 174  55
mcl_stairs:slab_goldblock_double 198 169  53
mcl_stairs:slab_goldblock_top 192 147  59
mcl_stairs:slab_granite 125  86  72
mcl_stairs:slab_granite_double 121  83  69
mcl_stairs:slab_granite_smooth 130  90  75
mcl_stairs:slab_granite_smooth_double 126  87  73
mcl_stairs:slab_granite_smooth_top 150 121 110
mcl_stairs:slab_granite_top 153 121 110
mcl_stairs:slab_ice 122 151 181
mcl_stairs:slab_ironblock 107 107 107
mcl_stairs:slab_ironblock_double 105 105 106
mcl_stairs:slab_ironblock_top 159 151 151
mcl_stairs:slab_jungletree_bark  66  52  20
mcl_stairs:slab_jungletree_bark_double  63  49  19
mcl_stairs:slab_jungletree_bark_top  86  58  45
mcl_stairs:slab_junglewood 101  76  42
mcl_stairs:slab_junglewood_double  93  70  37
mcl_stairs:slab_junglewood_top 113  78  59
mcl_stairs:slab_lapisblock  26  58 118
mcl_stairs:slab_lapisblock_double  25  55 113
mcl_stairs:slab_lapisblock_top  50  92 162
mcl_stairs:slab_mossycobble  96 103  86
mcl_stairs:slab_mossycobble_double  93  99  84
mcl_stairs:slab_mossycobble_top  95 103  85
mcl_stairs:slab_nether_brick  37  18  21
mcl_stairs:slab_nether_brick_double  35  17  21
mcl_stairs:slab_nether_brick_top  49  23  24
mcl_stairs:slab_obsidian  12  13  15
mcl_stairs:slab_obsidian_glass  22  22  22
mcl_stairs:slab_prismarine  83 137 124
mcl_stairs:slab_prismarine_brick  84 144 134
mcl_stairs:slab_prismarine_brick_double  82 140 130
mcl_stairs:slab_prismarine_brick_top 104 112 115
mcl_stairs:slab_prismarine_dark  43  77  64
mcl_stairs:slab_prismarine_dark_double  42  74  62
mcl_stairs:slab_prismarine_dark_top  77  89  97
mcl_stairs:slab_prismarine_double  81 133 121
mcl_stairs:slab_prismarine_top 104 123 122
mcl_stairs:slab_purpur_block 143 106 143
mcl_stairs:slab_purpur_block_double 138 103 138
mcl_stairs:slab_purpur_block_top 161 111 175
mcl_stairs:slab_quartz_smooth 198 192 187
mcl_stairs:slab_quartz_smooth_double 191 186 181
mcl_stairs:slab_quartz_smooth_top 198 191 187
mcl_stairs:slab_quartzblock  97  53  50
mcl_stairs:slab_quartzblock_double  96  54  51
mcl_stairs:slab_quartzblock_top 198 190 187
mcl_stairs:slab_red_nether_brick  59   6   8
mcl_stairs:slab_red_nether_brick_double  56   6   7
mcl_stairs:slab_red_nether_brick_top  69  17   5
mcl_stairs:slab_redsandstone 154  82  25
mcl_stairs:slab_redsandstone_double 149  80  24
mcl_stairs:slab_redsandstone_top 212 159 141
mcl_stairs:slab_redsandstonesmooth2 153  83  27
mcl_stairs:slab_redsandstonesmooth2_double 148  80  26
mcl_stairs:slab_redsandstonesmooth2_top 212 159 141
mcl_stairs:slab_sandstone 145 142 105
mcl_stairs:slab_sandstone_double 142 138 102
mcl_stairs:slab_sandstone_top 200 164 126
mcl_stairs:slab_sandstonesmooth2 190 182 146
mcl_stairs:slab_sandstonesmooth2_double 184 176 141
mcl_stairs:slab_sandstonesmooth2_top 200 164 126
mcl_stairs:slab_sprucetree_bark  36  23   6
mcl_stairs:slab_sprucetree_bark_double  35  23   5
mcl_stairs:slab_sprucetree_bark_top  66  51  44
mcl_stairs:slab_sprucewood  97  71  41
mcl_stairs:slab_sprucewood_double  93  69  39
mcl_stairs:slab_sprucewood_top  81  65  54
mcl_stairs:slab_stone  63  62  59
mcl_stairs:slab_stone_double 158 159 159
mcl_stairs:slab_stone_rough 130 122 118
mcl_stairs:slab_stone_rough_double  62  60  57
mcl_stairs:slab_stone_rough_top 130 122 118
mcl_stairs:slab_stone_top 127 118 114
mcl_stairs:slab_stonebrick  70  69  67
mcl_stairs:slab_stonebrick_double  68  67  65
mcl_stairs:slab_stonebrick_top  97  89  86
mcl_stairs:slab_stonebrickcracked  70  68  67
mcl_stairs:slab_stonebrickcracked_double  68  66  65
mcl_stairs:slab_stonebrickcracked_top  94  87  83
mcl_stairs:slab_stonebrickmossy  96 102  86
mcl_stairs:slab_stonebrickmossy_double  93  98  84
mcl_stairs:slab_stonebrickmossy_top  81 101  76
mcl_stairs:slab_tree_bark  77  61  37
mcl_stairs:slab_tree_bark_double  73  58  35
mcl_stairs:slab_tree_bark_top  95  75  57
mcl_stairs:slab_wood  84  65  44
mcl_stairs:slab_wood_double  73  57  38
mcl_stairs:slab_wood_top 113  87  67
mcl_stairs:stair_acaciatree_bark  72  67  61
mcl_stairs:stair_acaciatree_bark_inner 105  91  74
mcl_stairs:stair_acaciatree_bark_outer 105  91  74
mcl_stairs:stair_acaciawood  93  73  59
mcl_stairs:stair_acaciawood_inner 152 100  69
mcl_stairs:stair_acaciawood_outer 152 100  69
mcl_stairs:stair_andesite 137 136 128
mcl_stairs:stair_andesite_inner 104 110 107
mcl_stairs:stair_andesite_outer 104 110 107
mcl_stairs:stair_andesite_smooth 105 107 106
mcl_stairs:stair_andesite_smooth_inner 106 113 108
mcl_stairs:stair_andesite_smooth_outer 106 113 108
mcl_stairs:stair_birchtree_bark 140 140 137
mcl_stairs:stair_birchtree_bark_inner 194 184 174
mcl_stairs:stair_birchtree_bark_outer 194 184 174
mcl_stairs:stair_birchwood 164 159 145
mcl_stairs:stair_birchwood_inner 145 113  89
mcl_stairs:stair_birchwood_outer 145 113  89
mcl_stairs:stair_brick_block  82  51  49
mcl_stairs:stair_brick_block_inner 125  64  54
mcl_stairs:stair_brick_block_outer 125  64  54
mcl_stairs:stair_cobble  60  59  56
mcl_stairs:stair_cobble_inner 111 101  97
mcl_stairs:stair_cobble_outer 111 101  97
mcl_stairs:stair_concrete_black   6   9  12
mcl_stairs:stair_concrete_black_inner   8  10  15
mcl_stairs:stair_concrete_black_outer   8  10  15
mcl_stairs:stair_concrete_blue  34  37 112
mcl_stairs:stair_concrete_blue_inner  46  48 147
mcl_stairs:stair_concrete_blue_outer  46  48 147
mcl_stairs:stair_concrete_brown  75  47  24
mcl_stairs:stair_concrete_brown_inner  98  60  32
mcl_stairs:stair_concrete_brown_outer  98  60  32
mcl_stairs:stair_concrete_cyan  17  94 107
mcl_stairs:stair_concrete_cyan_inner  21 123 140
mcl_stairs:stair_concrete_cyan_outer  21 123 140
mcl_stairs:stair_concrete_green  57  72  28
mcl_stairs:stair_concrete_green_inner  75  94  37
mcl_stairs:stair_concrete_green_outer  75  94  37
mcl_stairs:stair_concrete_grey  42  46  48
mcl_stairs:stair_concrete_grey_inner  56  59  64
mcl_stairs:stair_concrete_grey_outer  56  59  64
mcl_stairs:stair_concrete_light_blue  27 108 156
mcl_stairs:stair_concrete_light_blue_inner  37 140 200
mcl_stairs:stair_concrete_light_blue_outer  37 140 200
mcl_stairs:stair_concrete_lime  73 133  19
mcl_stairs:stair_concrete_lime_inner  96 171  25
mcl_stairs:stair_concrete_lime_outer  96 171  25
mcl_stairs:stair_concrete_magenta 133  38 125
mcl_stairs:stair_concrete_magenta_inner 171  49 162
mcl_stairs:stair_concrete_magenta_outer 171  49 162
mcl_stairs:stair_concrete_orange 176  77   0
mcl_stairs:stair_concrete_orange_inner 226 101   1
mcl_stairs:stair_concrete_orange_outer 226 101   1
mcl_stairs:stair_concrete_pink 167  80 112
mcl_stairs:stair_concrete_pink_inner 213 103 144
mcl_stairs:stair_concrete_pink_outer 213 103 144
mcl_stairs:stair_concrete_purple  78  25 123
mcl_stairs:stair_concrete_purple_inner 103  32 159
mcl_stairs:stair_concrete_purple_outer 103  32 159
mcl_stairs:stair_concrete_red 111  26  25
mcl_stairs:stair_concrete_red_inner 146  34  34
mcl_stairs:stair_concrete_red_outer 146  34  34
mcl_stairs:stair_concrete_silver  98  99  90
mcl_stairs:stair_concrete_silver_inner 128 129 118
mcl_stairs:stair_concrete_silver_outer 128 129 118
mcl_stairs:stair_concrete_white 162 168 168
mcl_stairs:stair_concrete_white_inner 208 214 215
mcl_stairs:stair_concrete_white_outer 208 214 215
mcl_stairs:stair_concrete_yellow 189 138  17
mcl_stairs:stair_concrete_yellow_inner 241 177  21
mcl_stairs:stair_concrete_yellow_outer 241 177  21
mcl_stairs:stair_darktree_bark  35  27  16
mcl_stairs:stair_darktree_bark_inner  74  62  55
mcl_stairs:stair_darktree_bark_outer  74  62  55
mcl_stairs:stair_darkwood  48  35  19
mcl_stairs:stair_darkwood_inner  87  74  62
mcl_stairs:stair_darkwood_outer  87  74  62
mcl_stairs:stair_diorite 148 149 149
mcl_stairs:stair_diorite_inner 153 149 146
mcl_stairs:stair_diorite_outer 153 149 146
mcl_stairs:stair_diorite_smooth 152 153 153
mcl_stairs:stair_diorite_smooth_inner 156 153 151
mcl_stairs:stair_diorite_smooth_outer 156 153 151
mcl_stairs:stair_end_bricks 172 177 128
mcl_stairs:stair_end_bricks_inner 194 187 123
mcl_stairs:stair_end_bricks_outer 194 187 123
mcl_stairs:stair_goldblock 192 163  51
mcl_stairs:stair_goldblock_inner 191 146  56
mcl_stairs:stair_goldblock_outer 191 146  56
mcl_stairs:stair_granite 117  82  67
mcl_stairs:stair_granite_inner 153 121 110
mcl_stairs:stair_granite_outer 153 121 110
mcl_stairs:stair_granite_smooth 121  85  70
mcl_stairs:stair_granite_smooth_inner 150 121 109
mcl_stairs:stair_granite_smooth_outer 150 121 109
mcl_stairs:stair_ice 118 145 175
mcl_stairs:stair_ironblock 103 103 103
mcl_stairs:stair_ironblock_inner 166 159 159
mcl_stairs:stair_ironblock_outer 166 159 159
mcl_stairs:stair_jungletree_bark  60  46  18
mcl_stairs:stair_jungletree_bark_inner  86  58  45
mcl_stairs:stair_jungletree_bark_outer  86  58  45
mcl_stairs:stair_junglewood  85  65  32
mcl_stairs:stair_junglewood_inner 113  78  59
mcl_stairs:stair_junglewood_outer 113  78  59
mcl_stairs:stair_lapisblock  24  54 111
mcl_stairs:stair_lapisblock_inner  49  89 158
mcl_stairs:stair_lapisblock_outer  49  89 158
mcl_stairs:stair_mossycobble  90  96  82
mcl_stairs:stair_mossycobble_inner  95 103  85
mcl_stairs:stair_mossycobble_outer  95 103  85
mcl_stairs:stair_nether_brick  34  19  20
mcl_stairs:stair_nether_brick_inner  49  23  24
mcl_stairs:stair_nether_brick_outer  49  23  24
mcl_stairs:stair_obsidian  12  14  15
mcl_stairs:stair_obsidian_glass  22  23  22
mcl_stairs:stair_prismarine  78 130 117
mcl_stairs:stair_prismarine_brick  78 136 125
mcl_stairs:stair_prismarine_brick_inner 104 112 115
mcl_stairs:stair_prismarine_brick_outer 104 112 115
mcl_stairs:stair_prismarine_dark  41  72  60
mcl_stairs:stair_prismarine_dark_inner  77  89  97
mcl_stairs:stair_prismarine_dark_outer  77  89  97
mcl_stairs:stair_prismarine_inner 104 123 122
mcl_stairs:stair_prismarine_outer 104 123 122
mcl_stairs:stair_purpur_block 132  98 131
mcl_stairs:stair_purpur_block_inner 161 111 175
mcl_stairs:stair_purpur_block_outer 161 111 175
mcl_stairs:stair_quartz_smooth 186 181 176
mcl_stairs:stair_quartz_smooth_inner 198 191 187
mcl_stairs:stair_quartz_smooth_outer 198 191 187
mcl_stairs:stair_quartzblock  91  49  47
mcl_stairs:stair_quartzblock_inner 198 190 187
mcl_stairs:stair_quartzblock_outer 198 190 187
mcl_stairs:stair_red_nether_brick  55   7   7
mcl_stairs:stair_red_nether_brick_inner  69  17   5
mcl_stairs:stair_red_nether_brick_outer  69  17   5
mcl_stairs:stair_redsandstone 145  78  23
mcl_stairs:stair_redsandstone_inner 212 159 141
mcl_stairs:stair_redsandstone_outer 212 159 141
mcl_stairs:stair_redsandstonesmooth2 144  78  25
mcl_stairs:stair_redsandstonesmooth2_inner 212 159 141
mcl_stairs:stair_redsandstonesmooth2_outer 212 159 141
mcl_stairs:stair_sandstone 140 137 101
mcl_stairs:stair_sandstone_inner 200 164 126
mcl_stairs:stair_sandstone_outer 200 164 126
mcl_stairs:stair_sandstonesmooth2 179 172 137
mcl_stairs:stair_sandstonesmooth2_inner 200 164 126
mcl_stairs:stair_sandstonesmooth2_outer 200 164 126
mcl_stairs:stair_sprucetree_bark  35  24   5
mcl_stairs:stair_sprucetree_bark_inner  66  51  44
mcl_stairs:stair_sprucetree_bark_outer  66  51  44
mcl_stairs:stair_sprucewood  91  68  38
mcl_stairs:stair_sprucewood_inner  81  65  54
mcl_stairs:stair_sprucewood_outer  81  65  54
mcl_stairs:stair_stone_rough  61  60  57
mcl_stairs:stair_stone_rough_inner 130 122 118
mcl_stairs:stair_stone_rough_outer 130 122 118
mcl_stairs:stair_stonebrick  67  66  65
mcl_stairs:stair_stonebrick_inner  97  89  86
mcl_stairs:stair_stonebrick_outer  97  89  86
mcl_stairs:stair_stonebrickcracked  67  65  65
mcl_stairs:stair_stonebrickcracked_inner  94  87  83
mcl_stairs:stair_stonebrickcracked_outer  94  87  83
mcl_stairs:stair_stonebrickmossy  90  95  82
mcl_stairs:stair_stonebrickmossy_inner  81 101  76
mcl_stairs:stair_stonebrickmossy_outer  81 101  76
mcl_stairs:stair_tree_bark  70  55  34
mcl_stairs:stair_tree_bark_inner  95  75  57
mcl_stairs:stair_tree_bark_outer  95  75  57
mcl_stairs:stair_wood  62  48  32
mcl_stairs:stair_wood_inner 113  87  67
mcl_stairs:stair_wood_outer 113  87  67
mcl_tnt:tnt 138  34  34
mcl_torches:torch 116  84  61
mcl_torches:torch_wall 121  96  59
mcl_walls:andesite 108 108 109
mcl_walls:andesite_0 104 110 107
mcl_walls:andesite_1 104 110 107
mcl_walls:andesite_10 104 110 107
mcl_walls:andesite_11 104 110 107
mcl_walls:andesite_12 104 110 107
mcl_walls:andesite_13 104 110 107
mcl_walls:andesite_14 104 110 107
mcl_walls:andesite_15 104 110 107
mcl_walls:andesite_16 104 110 107
mcl_walls:andesite_2 104 110 107
mcl_walls:andesite_21 104 110 107
mcl_walls:andesite_3 104 110 107
mcl_walls:andesite_4 104 110 107
mcl_walls:andesite_5 104 110 107
mcl_walls:andesite_6 104 110 107
mcl_walls:andesite_7 104 110 107
mcl_walls:andesite_8 104 110 107
mcl_walls:andesite_9 104 110 107
mcl_walls:brick 119  77  66
mcl_walls:brick_0 125  64  54
mcl_walls:brick_1 125  64  54
mcl_walls:brick_10 125  64  54
mcl_walls:brick_11 125  64  54
mcl_walls:brick_12 125  64  54
mcl_walls:brick_13 125  64  54
mcl_walls:brick_14 125  64  54
mcl_walls:brick_15 125  64  54
mcl_walls:brick_16 125  64  54
mcl_walls:brick_2 125  64  54
mcl_walls:brick_21 125  64  54
mcl_walls:brick_3 125  64  54
mcl_walls:brick_4 125  64  54
mcl_walls:brick_5 125  64  54
mcl_walls:brick_6 125  64  54
mcl_walls:brick_7 125  64  54
mcl_walls:brick_8 125  64  54
mcl_walls:brick_9 125  64  54
mcl_walls:cobble  61  58  57
mcl_walls:cobble_0 111 101  97
mcl_walls:cobble_1 111 101  97
mcl_walls:cobble_10 111 101  97
mcl_walls:cobble_11 111 101  97
mcl_walls:cobble_12 111 101  97
mcl_walls:cobble_13 111 101  97
mcl_walls:cobble_14 111 101  97
mcl_walls:cobble_15 111 101  97
mcl_walls:cobble_16 111 101  97
mcl_walls:cobble_2 111 101  97
mcl_walls:cobble_21 111 101  97
mcl_walls:cobble_3 111 101  97
mcl_walls:cobble_4 111 101  97
mcl_walls:cobble_5 111 101  97
mcl_walls:cobble_6 111 101  97
mcl_walls:cobble_7 111 101  97
mcl_walls:cobble_8 111 101  97
mcl_walls:cobble_9 111 101  97
mcl_walls:diorite 149 149 150
mcl_walls:diorite_0 153 149 146
mcl_walls:diorite_1 153 149 146
mcl_walls:diorite_10 153 149 146
mcl_walls:diorite_11 153 149 146
mcl_walls:diorite_12 153 149 146
mcl_walls:diorite_13 153 149 146
mcl_walls:diorite_14 153 149 146
mcl_walls:diorite_15 153 149 146
mcl_walls:diorite_16 153 149 146
mcl_walls:diorite_2 153 149 146
mcl_walls:diorite_21 153 149 146
mcl_walls:diorite_3 153 149 146
mcl_walls:diorite_4 153 149 146
mcl_walls:diorite_5 153 149 146
mcl_walls:diorite_6 153 149 146
mcl_walls:diorite_7 153 149 146
mcl_walls:diorite_8 153 149 146
mcl_walls:diorite_9 153 149 146
mcl_walls:endbricks 173 177 130
mcl_walls:endbricks_0 194 187 123
mcl_walls:endbricks_1 194 187 123
mcl_walls:endbricks_10 194 187 123
mcl_walls:endbricks_11 194 187 123
mcl_walls:endbricks_12 194 187 123
mcl_walls:endbricks_13 194 187 123
mcl_walls:endbricks_14 194 187 123
mcl_walls:endbricks_15 194 187 123
mcl_walls:endbricks_16 194 187 123
mcl_walls:endbricks_2 194 187 123
mcl_walls:endbricks_21 194 187 123
mcl_walls:endbricks_3 194 187 123
mcl_walls:endbricks_4 194 187 123
mcl_walls:endbricks_5 194 187 123
mcl_walls:endbricks_6 194 187 123
mcl_walls:endbricks_7 194 187 123
mcl_walls:endbricks_8 194 187 123
mcl_walls:endbricks_9 194 187 123
mcl_walls:granite 117  81  68
mcl_walls:granite_0 153 121 110
mcl_walls:granite_1 153 121 110
mcl_walls:granite_10 153 121 110
mcl_walls:granite_11 153 121 110
mcl_walls:granite_12 153 121 110
mcl_walls:granite_13 153 121 110
mcl_walls:granite_14 153 121 110
mcl_walls:granite_15 153 121 110
mcl_walls:granite_16 153 121 110
mcl_walls:granite_2 153 121 110
mcl_walls:granite_21 153 121 110
mcl_walls:granite_3 153 121 110
mcl_walls:granite_4 153 121 110
mcl_walls:granite_5 153 121 110
mcl_walls:granite_6 153 121 110
mcl_walls:granite_7 153 121 110
mcl_walls:granite_8 153 121 110
mcl_walls:granite_9 153 121 110
mcl_walls:mossycobble  85  92  73
mcl_walls:mossycobble_0  95 103  85
mcl_walls:mossycobble_1  95 103  85
mcl_walls:mossycobble_10  95 103  85
mcl_walls:mossycobble_11  95 103  85
mcl_walls:mossycobble_12  95 103  85
mcl_walls:mossycobble_13  95 103  85
mcl_walls:mossycobble_14  95 103  85
mcl_walls:mossycobble_15  95 103  85
mcl_walls:mossycobble_16  95 103  85
mcl_walls:mossycobble_2  95 103  85
mcl_walls:mossycobble_21  95 103  85
mcl_walls:mossycobble_3  95 103  85
mcl_walls:mossycobble_4  95 103  85
mcl_walls:mossycobble_5  95 103  85
mcl_walls:mossycobble_6  95 103  85
mcl_walls:mossycobble_7  95 103  85
mcl_walls:mossycobble_8  95 103  85
mcl_walls:mossycobble_9  95 103  85
mcl_walls:netherbrick  35  17  20
mcl_walls:netherbrick_0  49  23  24
mcl_walls:netherbrick_1  49  23  24
mcl_walls:netherbrick_10  49  23  24
mcl_walls:netherbrick_11  49  23  24
mcl_walls:netherbrick_12  49  23  24
mcl_walls:netherbrick_13  49  23  24
mcl_walls:netherbrick_14  49  23  24
mcl_walls:netherbrick_15  49  23  24
mcl_walls:netherbrick_16  49  23  24
mcl_walls:netherbrick_2  49  23  24
mcl_walls:netherbrick_21  49  23  24
mcl_walls:netherbrick_3  49  23  24
mcl_walls:netherbrick_4  49  23  24
mcl_walls:netherbrick_5  49  23  24
mcl_walls:netherbrick_6  49  23  24
mcl_walls:netherbrick_7  49  23  24
mcl_walls:netherbrick_8  49  23  24
mcl_walls:netherbrick_9  49  23  24
mcl_walls:prismarine  78 131 117
mcl_walls:prismarine_0 104 123 122
mcl_walls:prismarine_1 104 123 122
mcl_walls:prismarine_10 104 123 122
mcl_walls:prismarine_11 104 123 122
mcl_walls:prismarine_12 104 123 122
mcl_walls:prismarine_13 104 123 122
mcl_walls:prismarine_14 104 123 122
mcl_walls:prismarine_15 104 123 122
mcl_walls:prismarine_16 104 123 122
mcl_walls:prismarine_2 104 123 122
mcl_walls:prismarine_21 104 123 122
mcl_walls:prismarine_3 104 123 122
mcl_walls:prismarine_4 104 123 122
mcl_walls:prismarine_5 104 123 122
mcl_walls:prismarine_6 104 123 122
mcl_walls:prismarine_7 104 123 122
mcl_walls:prismarine_8 104 123 122
mcl_walls:prismarine_9 104 123 122
mcl_walls:rednetherbrick  55   5   7
mcl_walls:rednetherbrick_0  69  17   5
mcl_walls:rednetherbrick_1  69  17   5
mcl_walls:rednetherbrick_10  69  17   5
mcl_walls:rednetherbrick_11  69  17   5
mcl_walls:rednetherbrick_12  69  17   5
mcl_walls:rednetherbrick_13  69  17   5
mcl_walls:rednetherbrick_14  69  17   5
mcl_walls:rednetherbrick_15  69  17   5
mcl_walls:rednetherbrick_16  69  17   5
mcl_walls:rednetherbrick_2  69  17   5
mcl_walls:rednetherbrick_21  69  17   5
mcl_walls:rednetherbrick_3  69  17   5
mcl_walls:rednetherbrick_4  69  17   5
mcl_walls:rednetherbrick_5  69  17   5
mcl_walls:rednetherbrick_6  69  17   5
mcl_walls:rednetherbrick_7  69  17   5
mcl_walls:rednetherbrick_8  69  17   5
mcl_walls:rednetherbrick_9  69  17   5
mcl_walls:redsandstone 148  79  23
mcl_walls:redsandstone_0 212 159 141
mcl_walls:redsandstone_1 212 159 141
mcl_walls:redsandstone_10 212 159 141
mcl_walls:redsandstone_11 212 159 141
mcl_walls:redsandstone_12 212 159 141
mcl_walls:redsandstone_13 212 159 141
mcl_walls:redsandstone_14 212 159 141
mcl_walls:redsandstone_15 212 159 141
mcl_walls:redsandstone_16 212 159 141
mcl_walls:redsandstone_2 212 159 141
mcl_walls:redsandstone_21 212 159 141
mcl_walls:redsandstone_3 212 159 141
mcl_walls:redsandstone_4 212 159 141
mcl_walls:redsandstone_5 212 159 141
mcl_walls:redsandstone_6 212 159 141
mcl_walls:redsandstone_7 212 159 141
mcl_walls:redsandstone_8 212 159 141
